iter	Passed	Remaining
0	4696	140411611	5026	74887722	5618	55624733	6478	47942444	7281	42958655	7804	38241766	8365	35016177	8862	32348088	12754	41239599	13314	38611610	15015	394496
11	15405	369731
12	15772	348210
13	16161	330163
14	16545	314360
15	16888	299771
16	17164	285737
17	17544	274859
18	17958	265596
19	18372	257213
20	18802	249807
21	19095	241294
22	19447	234210
23	19909	228963
24	20220	222430
25	20500	216045
26	21061	212958
27	21785	211632
28	22294	208335
29	22745	204711
30	22843	198224
31	23310	195224
32	23683	191624
33	23904	187017
34	24116	182594335	24362	178660336	24587	174770337	24899	171678338	25234	168877339	25530	165948440	25774	162816441	26048	160012442	26395	157757443	26931	156691444	27428	155430
45	28005	154637
46	28482	153323
47	28919	151826
48	29344	150313449	29759	148799550	30289	14788251	30808	146930
52	31348	146096
53	31884	145253
54	32514	144835
55	32766	142766
56	33129	141236
57	33373	139248
58	33831	138193
559	34461	137846660	34827	136457661	35194	13509962	35711	134345
63	36186	133437
64	36784	132991
65	37236	132020
66	37393	130038
67	37876	129226
68	38374	128472
69	38960	128011
70	39389	127045
71	39844	126173
72	40257	125185
73	40732	124400
74	41051	123154
75	41315	121773
76	41508	120212
77	41816	1178	4178	42112	117808
79	45018	1280	4480	45267	1281	4581	45560	1282	4582	46084	120486
83	46496	119562
84	46829	118449
85	47148	117322
86	47463	116203
87	47745	115022
88	48010	1189	4789	48334	112781
90	48567	111545
91	48808	1192	4892	49061	1093	4893	49127	1094	4994	49460	106729
95	49845	105920
96	50150	1097	4997	50422	1098	5098	50627	1099	5099	50848	10100	5100	51118	10101	5101	51350	9102	5102	51665	9103	5103	51966	9104	5104	52332	9105	5105	52747	9106	5106	53197	9107	5107	53408	9108	5108	53727	9109	5109	54077	9110	5110	54361	9111	5111	54638	9112	5112	54922	9113	5113	55136	8114	55018	88507
115	55228	87603
116	5116	55647	8117	5117	55845	8118	55840	84933
119	56072	84109
120	56381	83407
121	56696	82721
122	57005	82032
123	57368	81426
124	57717	80803
125	57940	80012
126	58159	79225
127	5127	58554	7128	5128	58795	7129	58801	76894
130	59084	76223
131	59406	75607
132	59818	75110
133	60215	74594
134	6134	60655	7135	6135	60877	7136	6136	61142	7137	6137	61334	7138	61380	71095
139	61579	70377
140	61694	69570
141	61896	68870
142	62110	68191
143	62314	67507
144	62546	66859
145	62752	66191
146	62997	65569
147	63222	64930
148	63482	64334
149	63690	63690
150	63895	63049
151	64098	62411
152	64307	61785
153	64486	61136
154	64610	60442
155	64749	59769
156	64896	59109
157	65019	58435
158	65159	57783
159	65262	57104
160	65397	56461
161	65519	55812
162	65624	55156
163	65761	54534
4552
164	65899	53918
5	65369	52768
166	65476	52145
167	65610	51551

168	65889	51074
169	65651	50204
170	65764	49611
64004	47631
172	64093	47051
173	64187	46480
174	64290	45921
175	64397	45371
